Model,Sampling,Metric,Mean,Std
Logistic Regression,SMOTE,accuracy,0.8528749999999998,0.007295118230707425
Logistic Regression,SMOTE,precision,0.8520928145524828,0.006388917218380007
Logistic Regression,SMOTE,recall,0.8539999999999999,0.011789826122551566
Logistic Regression,SMOTE,f1,0.853011541630768,0.007794493728004178
Random Forest,SMOTE,accuracy,0.95475,0.007165455323983265
Random Forest,SMOTE,precision,0.950682759093888,0.005498059417468375
Random Forest,SMOTE,recall,0.9592499999999999,0.009956153875869903
Random Forest,SMOTE,f1,0.9549349468362062,0.007242122985502476
Logistic Regression,SMOTEENN,accuracy,0.9119492999075302,0.007589357488889917
Logistic Regression,SMOTEENN,precision,0.9190963907881095,0.0027402517729769806
Logistic Regression,SMOTEENN,recall,0.924198469654484,0.012864189160603879
Logistic Regression,SMOTEENN,f1,0.9216033158986949,0.007226590529575609
Random Forest,SMOTEENN,accuracy,0.9748823723215876,0.00476160166098544
Random Forest,SMOTEENN,precision,0.9723728627565729,0.00476957794689152
Random Forest,SMOTEENN,recall,0.9831262772681907,0.006254254499735915
Random Forest,SMOTEENN,f1,0.9777068909462259,0.00424231112615058
